cescode,industry,category,alternacategory,mobilecategory,categorycode,showrow,showcirclerow,showcomparison,nytcategory,nytlabel,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113300,Agriculture,,,,,1,,,Agriculture,Agriculture,276.9,272.9,279.8,281.2,280.8,275.5,273.2,269.9,278.8,276.8,282.8,283.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211000,"Forestry, fishing, mining, quarrying, oil and gas",,oil,oil,,1,,,"Forestry, fishing, mining, quarrying, oil and gas","Forestry, fishing, mining, quarrying, oil and gas",332.2,338.6,339.3,338.1,338.4,349,344.3,342.4,344.9,339.3,341.1,344.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10212100,Utilities,,,,,1,,,Utilities,Utilities,132.9,135.6,138.4,141.7,144,145.1,147.6,149.8,151.3,150.5,152.3,148.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10212200,Construction,,,,,1,,,Construction,Construction,"1,432.00","1,430.30","1,447.50","1,433.00","1,422.70","1,443.80","1,435.70","1,422.40","1,446.30","1,443.10","1,456.70","1,453.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10212300,Manufacturing,,housing,,,1,,,Manufacturing,Manufacturing,"1,762.50","1,747.90","1,741.00","1,739.50","1,724.70","1,734.50","1,718.20","1,713.10","1,717.50","1,719.90","1,720.30","1,739.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10213112,Wholesale and retail trade,,oil,oil,,1,,,Wholesale and retail trade,Wholesale and retail trade,"2,835.50","2,812.60","2,805.50","2,786.70","2,791.10","2,779.00","2,782.10","2,767.20","2,779.70","2,795.40","2,796.40","2,774.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20236115,Transportation and warehousing,,housing,housing,,1,,,Transportation and warehousing,Transportation and warehousing,965.1,976.5,976.8,976.8,987.2,992.8,986.9,992.5,"1,000.10","1,005.70","1,014.30","1,026.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20236116,"Finance, insurance, real estate, rental and leasing",,housing,,,1,,,"Finance, insurance, real estate, rental and leasing","Finance, insurance, real estate, rental and leasing","1,175.80","1,165.60","1,165.60","1,166.10","1,176.00","1,178.40","1,180.40","1,175.50","1,186.90","1,172.40","1,168.50","1,166.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20236117,"Professional, scientific and technical services",,housing,,,1,,,"Professional, scientific and technical services","Professional, scientific and technical services","1,446.00","1,438.70","1,442.60","1,462.50","1,475.10","1,478.00","1,476.60","1,461.80","1,463.20","1,469.80","1,491.30","1,489.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20236118,"Business, building and other support services",,housing,,,1,,,"Business, building and other support services","Business, building and other support services",764.8,764.7,763.5,766.9,761.9,770.1,773.2,781.3,774.1,794.5,807,813.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20236210,Educational services,,housing,,,1,,,Educational services,Educational services,"1,289.30","1,301.80","1,310.00","1,309.40","1,312.00","1,310.60","1,342.40","1,345.10","1,339.20","1,340.50","1,339.20","1,340.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20236220,Health care and social assistance,,housing,,,1,,,Health care and social assistance,Health care and social assistance,"2,368.90","2,390.20","2,395.70","2,396.50","2,378.30","2,380.70","2,406.40","2,408.50","2,416.40","2,430.80","2,446.60","2,456.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20237110,"Information, culture and recreation",,,,,1,,,"Information, culture and recreation","Information, culture and recreation",800.1,791.6,783.3,785,786.8,794.9,802.2,795.3,780.4,775.2,765.7,759.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20237120,Accommodation and food services,,oil,,,1,,,Accommodation and food services,Accommodation and food services,"1,217.60","1,225.00","1,226.10","1,241.90","1,258.50","1,242.20","1,234.80","1,240.60","1,241.90","1,238.10","1,243.50","1,246.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20237130,Other services (except public administration),,,,,1,,,Other services (except public administration),Other services (except public administration),795.2,809.6,806.7,805.6,795.5,792.7,802.7,809.2,812.6,797.1,801.7,805.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20237200,Public administration,,housing,,,1,,,Public administration,Public administration,952,959.2,969.2,971.7,970.9,966.2,970.8,965.8,976,971.8,971.8,958.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
